"","group","sample","ring_no","species","sex","rearing_nest","family_membership","sampling","index_1","index_2","breading_no","miseq_run","couple","no_species_nest"
"G154","G154","FD285","Grey830","Zebra_Finch","Female","OM02","Mother","Day_10","S517","N706","2","707","couple12","1"
"G155","G155","FD286","Grey830","Zebra_Finch","Female","OM02","Mother","Day_35","S517","N712","2","707","couple12","1"
"G156","G156","FD287","Grey830","Zebra_Finch","Female","OM02","Mother","Day_100","S502","N702","2","707","couple12","1"
"G157","G157","FD288","Grey746","Zebra_Finch","Male","OM02","Father","Fostering","S502","N708","2","707","couple12","1"
"G158","G158","FD289","Grey746","Zebra_Finch","Male","OM02","Father","Day_5","S504","N701","2","707","couple12","1"
"G159","G159","FD290","Grey746","Zebra_Finch","Male","OM02","Father","Day_10","S504","N704","2","707","couple12","1"
"G16","G16","FD042","Silver192","Bengalese_Finch","Male","VS4A","Father","Fostering","S517","N702","1","592","couple11","1"
"G160","G160","FD291","Grey746","Zebra_Finch","Male","OM02","Father","Day_35","S504","N707","2","707","couple12","1"
"G161","G161","FD292","Grey746","Zebra_Finch","Male","OM02","Father","Day_100","S504","N710","2","707","couple12","1"
"G162","G162","FD301","Grey0872","Zebra_Finch","Female","OM04","Mother","Fostering","S508","N711","2","707","couple13","1"
"G163","G163","FD302","Grey0872","Zebra_Finch","Female","OM04","Mother","Day_5","S517","N702","2","708","couple13","1"
"G164","G164","FD303","Grey0872","Zebra_Finch","Female","OM04","Mother","Day_10","S517","N707","2","708","couple13","1"
"G165","G165","FD304","Grey0872","Zebra_Finch","Female","OM04","Mother","Day_35","S517","N710","2","708","couple13","1"
"G166","G166","FD305","Grey0872","Zebra_Finch","Female","OM04","Mother","Day_100","S502","N701","2","708","couple13","1"
"G167","G167","FD306","Grey0859","Zebra_Finch","Male","OM04","Father","Fostering","S503","N703","2","708","couple13","1"
"G168","G168","FD307","Grey0859","Zebra_Finch","Male","OM04","Father","Day_5","S503","N706","2","708","couple13","1"
"G169","G169","FD308","Grey0859","Zebra_Finch","Male","OM04","Father","Day_10","S503","N711","2","708","couple13","1"
"G17","G17","FD043","Silver192","Bengalese_Finch","Male","VS4A","Father","Day_10","S517","N707","1","592","couple11","1"
"G170","G170","FD309","Grey0859","Zebra_Finch","Male","OM04","Father","Day_35","S504","N702","2","708","couple13","1"
"G171","G171","FD310","Grey0859","Zebra_Finch","Male","OM04","Father","Day_100","S505","N706","2","708","couple13","1"
"G172","G172","FD319","Grey1195","Zebra_Finch","Female","OM05","Mother","Fostering","S517","N702","2","707","couple14","1"
"G173","G173","FD320","Grey1195","Zebra_Finch","Female","OM05","Mother","Day_5","S517","N407","2","707","couple14","1"
"G174","G174","FD321","Grey1195","Zebra_Finch","Female","OM05","Mother","Day_10","S517","N711","2","707","couple14","1"
"G175","G175","FD322","Grey1195","Zebra_Finch","Female","OM05","Mother","Day_35","S503","N701","2","707","couple14","1"
"G176","G176","FD324","Grey1200","Zebra_Finch","Male","OM05","Father","Fostering","S503","N705","2","707","couple14","1"
"G177","G177","FD325","Grey1200","Zebra_Finch","Male","OM05","Father","Day_5","S503","N707","2","707","couple14","1"
"G178","G178","FD326","Grey1200","Zebra_Finch","Male","OM05","Father","Day_10","S503","N711","2","707","couple14","1"
"G179","G179","FD327","Grey1200","Zebra_Finch","Male","OM05","Father","Day_35","S504","N708","2","707","couple14","1"
"G18","G18","FD044","Silver192","Bengalese_Finch","Male","VS4A","Father","Day_35","S502","N704","1","592","couple11","1"
"G180","G180","FD328","Grey1200","Zebra_Finch","Male","OM05","Father","Day_100","S505","N702","2","707","couple14","1"
"G181","G181","FD336","Grey0406","Zebra_Finch","Female","OM16","Mother","Day_5","S517","N701","2","708","couple17","1"
"G182","G182","FD337","Grey0406","Zebra_Finch","Female","OM16","Mother","Day_10","S517","N703","2","708","couple17","1"
"G183","G183","FD338","Grey0406","Zebra_Finch","Female","OM16","Mother","Day_35","S517","N706","2","708","couple17","1"
"G184","G184","FD340","Grey0868","Zebra_Finch","Male","OM16","Father","Fostering","S503","N702","2","708","couple17","1"
"G185","G185","FD341","Grey0868","Zebra_Finch","Male","OM16","Father","Day_5","S503","N705","2","708","couple17","1"
"G186","G186","FD342","Grey0868","Zebra_Finch","Male","OM16","Father","Day_10","S503","N710","2","708","couple17","1"
"G187","G187","FD343","Grey0868","Zebra_Finch","Male","OM16","Father","Day_35","S504","N708","2","708","couple17","1"
"G188","G188","FD344","Grey0868","Zebra_Finch","Male","OM16","Father","Day_100","S504","N712","2","708","couple17","1"
"G189","G189","FD348","Grey0897","Zebra_Finch","Female","OM10","Mother","Fostering","S517","N705","2","707","couple15","1"
"G19","G19","FD045","Silver192","Bengalese_Finch","Male","VS4A","Father","Day_100","S502","N709","1","592","couple11","1"
"G190","G190","FD349","Grey0897","Zebra_Finch","Female","OM10","Mother","Day_5","S517","N707","2","707","couple15","1"
"G191","G191","FD350","Grey0897","Zebra_Finch","Female","OM10","Mother","Day_10","S517","N709","2","707","couple15","1"
"G192","G192","FD351","Grey0897","Zebra_Finch","Female","OM10","Mother","Day_35","S502","N703","2","707","couple15","1"
"G193","G193","FD352","Grey0897","Zebra_Finch","Female","OM10","Mother","Day_100","S503","N704","2","707","couple15","1"
"G194","G194","FD353","Grey1166","Zebra_Finch","Male","OM10","Father","Fostering","S503","N709","2","707","couple15","1"
"G195","G195","FD355","Grey1166","Zebra_Finch","Male","OM10","Father","Day_10","S505","N701","2","707","couple15","1"
"G196","G196","FD356","Grey1166","Zebra_Finch","Male","OM10","Father","Day_35","S505","N703","2","707","couple15","1"
"G197","G197","FD358","Grey1122","Zebra_Finch","Female","OM20","Mother","Day_5","S505","N712","2","707","couple18","1"
"G198","G198","FD359","Grey1122","Zebra_Finch","Female","OM20","Mother","Day_10","S506","N707","2","707","couple18","1"
"G199","G199","FD360","Grey1122","Zebra_Finch","Female","OM20","Mother","Day_100","S506","N711","2","707","couple18","1"
"G2","G2","FD002","White247","Bengalese_Finch","Male","VS13","Father","Day_5","S517","N704","1","592","couple6","2"
"G20","G20","FD046","Silver200","Bengalese_Finch","Female","VS4A","Mother","Fostering","S504","N703","1","592","couple11","1"
"G200","G200","FD361","Grey1084","Zebra_Finch","Male","OM20","Father","Fostering","S508","N712","2","708","couple18","1"
"G201","G201","FD362","Grey1084","Zebra_Finch","Male","OM20","Father","Day_5","S508","N705","2","707","couple18","1"
"G202","G202","FD363","Grey1084","Zebra_Finch","Male","OM20","Father","Day_10","S508","N709","2","707","couple18","1"
"G203","G203","FD364","Grey1084","Zebra_Finch","Male","OM20","Father","Day_35","S517","N705","2","708","couple18","1"
"G204","G204","FD373","Grey1122","Zebra_Finch","Female","OM20","Mother","Day_35","S506","N708","2","708","couple18","1"
"G205","G205","FD374","Grey0737","Zebra_Finch","Female","OM13","Mother","Day_5","S517","N708","2","707","couple16","1"
"G206","G206","FD376","Grey0737","Zebra_Finch","Female","OM13","Mother","Day_10","S502","N701","2","707","couple16","1"
"G207","G207","FD377","Grey0737","Zebra_Finch","Female","OM13","Mother","Day_35","S502","N705","2","707","couple16","1"
"G208","G208","FD378","Grey0737","Zebra_Finch","Female","OM13","Mother","Day_100","S502","N707","2","707","couple16","1"
"G209","G209","FD379","Grey0620","Zebra_Finch","Male","OM13","Father","Day_5","S502","N710","2","707","couple16","1"
"G21","G21","FD047","Silver200","Bengalese_Finch","Female","VS4A","Mother","Day_10","S504","N712","1","592","couple11","1"
"G210","G210","FD380","Grey0620","Zebra_Finch","Male","OM13","Father","Day_10","S502","N712","2","707","couple16","1"
"G211","G211","FD381","Grey0620","Zebra_Finch","Male","OM13","Father","Day_35","S503","N702","2","707","couple16","1"
"G212","G212","FD382","Grey0620","Zebra_Finch","Male","OM13","Father","Day_100","S503","N706","2","707","couple16","1"
"G213","G213","FD393","Grey0393","Zebra_Finch","Female","OM24","Mother","Day_5","S502","N703","2","708","couple23","1"
"G214","G214","FD394","Grey0393","Zebra_Finch","Female","OM24","Mother","Day_10","S503","N701","2","708","couple23","1"
"G215","G215","FD395","Grey0393","Zebra_Finch","Female","OM24","Mother","Day_35","S503","N707","2","708","couple23","1"
"G216","G216","FD396","Grey0393","Zebra_Finch","Female","OM24","Mother","Day_100","S503","N709","2","708","couple23","1"
"G217","G217","FD397","Grey0707","Zebra_Finch","Male","OM24","Father","Fostering","S504","N704","2","708","couple23","1"
"G218","G218","FD398","Grey0707","Zebra_Finch","Male","OM24","Father","Day_5","S504","N706","2","708","couple23","1"
"G219","G219","FD399","Grey0707","Zebra_Finch","Male","OM24","Father","Day_10","S504","N710","2","708","couple23","1"
"G22","G22","FD048","Silver200","Bengalese_Finch","Female","VS4A","Mother","Day_35","S505","N702","1","592","couple11","1"
"G220","G220","FD400","Grey0707","Zebra_Finch","Male","OM24","Father","Day_35","S505","N703","2","708","couple23","1"
"G221","G221","FD401","Grey0707","Zebra_Finch","Male","OM24","Father","Day_100","S505","N705","2","708","couple23","1"
"G222","G222","FD405","Grey1120","Zebra_Finch","Female","OM21","Mother","Fostering","S502","N704","2","707","couple19","1"
"G223","G223","FD406","Grey1120","Zebra_Finch","Female","OM21","Mother","Day_5","S502","N706","2","707","couple19","1"
"G224","G224","FD407","Grey1120","Zebra_Finch","Female","OM21","Mother","Day_10","S502","N709","2","707","couple19","1"
"G225","G225","FD408","Grey1120","Zebra_Finch","Female","OM21","Mother","Day_35","S502","N711","2","707","couple19","1"
"G226","G226","FD409","Grey1120","Zebra_Finch","Female","OM21","Mother","Day_100","S503","N708","2","707","couple19","1"
"G227","G227","FD410","Grey1090","Zebra_Finch","Male","OM21","Father","Fostering","S503","N710","2","707","couple19","1"
"G228","G228","FD412","Grey1090","Zebra_Finch","Male","OM21","Father","Day_10","S504","N703","2","707","couple19","1"
"G229","G229","FD413","Grey1090","Zebra_Finch","Male","OM21","Father","Day_35","S504","N705","2","707","couple19","1"
"G23","G23","FD049","Silver200","Bengalese_Finch","Female","VS4A","Mother","Day_100","S506","N704","1","592","couple11","1"
"G230","G230","FD422","Grey1136","Zebra_Finch","Female","OM22","Mother","Fostering","S507","N704","2","707","couple22","1"
"G231","G231","FD423","Grey1136","Zebra_Finch","Female","OM22","Mother","Day_5","S507","N706","2","707","couple22","1"
"G232","G232","FD424","Grey1136","Zebra_Finch","Female","OM22","Mother","Day_10","S507","N708","2","707","couple22","1"
"G233","G233","FD425","Grey1136","Zebra_Finch","Female","OM22","Mother","Day_35","S507","N711","2","707","couple22","1"
"G234","G234","FD426","Grey1136","Zebra_Finch","Female","OM22","Mother","Day_100","S508","N712","2","707","couple22","1"
"G235","G235","FD427","Grey1146","Zebra_Finch","Male","OM22","Father","Fostering","S517","N704","2","708","couple22","1"
"G236","G236","FD428","Grey1146","Zebra_Finch","Male","OM22","Father","Day_5","S517","N708","2","708","couple22","1"
"G237","G237","FD429","Grey1146","Zebra_Finch","Male","OM22","Father","Day_10","S517","N712","2","708","couple22","1"
"G238","G238","FD430","Grey1146","Zebra_Finch","Male","OM22","Father","Day_35","S502","N702","2","708","couple22","1"
"G239","G239","FD431","Grey1146","Zebra_Finch","Male","OM22","Father","Day_100","S502","N705","2","708","couple22","1"
"G24","G24","FD066","White281","Bengalese_Finch","Female","VS15","Mother","Fostering","S517","N701","1","613","couple8","1"
"G241","G241","FD457","Grey1166","Zebra_Finch","Male","OM10","Father","Day_100","S508","N708","2","708","couple15","1"
"G25","G25","FD067","White281","Bengalese_Finch","Female","VS15","Mother","Day_10","S517","N709","1","613","couple8","1"
"G26","G26","FD068","White281","Bengalese_Finch","Female","VS15","Mother","Day_35","S507","N709","1","592","couple8","1"
"G27","G27","FD069","White281","Bengalese_Finch","Female","VS15","Mother","Day_100","S502","N706","1","613","couple8","1"
"G28","G28","FD077","White290","Bengalese_Finch","Male","VS08","Father","Fostering","S517","N703","1","592","couple5","1"
"G29","G29","FD078","White290","Bengalese_Finch","Male","VS08","Father","Day_5","S517","N710","1","592","couple5","1"
"G3","G3","FD003","White247","Bengalese_Finch","Male","VS13","Father","Day_10","S517","N708","1","592","couple6","2"
"G30","G30","FD079","White290","Bengalese_Finch","Male","VS08","Father","Day_10","S502","N701","1","592","couple5","1"
"G31","G31","FD080","White290","Bengalese_Finch","Male","VS08","Father","Day_35","S503","N704","1","592","couple5","1"
"G32","G32","FD081","White290","Bengalese_Finch","Male","VS08","Father","Day_100","S503","N711","1","592","couple5","1"
"G33","G33","FD082","Silver172","Bengalese_Finch","Female","VS08","Mother","Fostering","S504","N702","1","592","couple5","1"
"G34","G34","FD083","Silver172","Bengalese_Finch","Female","VS08","Mother","Day_5","S505","N707","1","592","couple5","1"
"G35","G35","FD084","Silver172","Bengalese_Finch","Female","VS08","Mother","Day_10","S506","N706","1","592","couple5","1"
"G36","G36","FD085","Silver172","Bengalese_Finch","Female","VS08","Mother","Day_35","S507","N701","1","592","couple5","1"
"G37","G37","FD101","Silver169","Bengalese_Finch","Male","VS14A","Father","Day_100","S517","N704","1","613","couple7","1"
"G38","G38","FD102","White128","Bengalese_Finch","Female","VS14A","Mother","Fostering","S517","N712","1","613","couple7","1"
"G39","G39","FD103","White128","Bengalese_Finch","Female","VS14A","Mother","Day_5","S502","N710","1","613","couple7","1"
"G4","G4","FD004","White247","Bengalese_Finch","Male","VS13","Father","Day_35","S517","N711","1","592","couple6","2"
"G40","G40","FD104","White128","Bengalese_Finch","Female","VS14A","Mother","Day_10","S503","N701","1","613","couple7","1"
"G41","G41","FD105","White128","Bengalese_Finch","Female","VS14A","Mother","Day_35","S503","N705","1","613","couple7","1"
"G42","G42","FD106","White128","Bengalese_Finch","Female","VS14A","Mother","Day_100","S503","N708","1","613","couple7","1"
"G43","G43","FD115","White249","Bengalese_Finch","Male","VS19B","Father","Fostering","S517","N705","1","592","couple10","2"
"G44","G44","FD116","White249","Bengalese_Finch","Male","VS19B","Father","Day_5","S517","N709","1","592","couple10","2"
